TITULO,CODIGO INMUEBLE,ÁREA PRIVADA,ÁREA CONSTRUÍDA,PRECIO POR M²,ESTRATO,ANTIGUEDAD,HABITACIONES,BAÑOS,PARQUEADEROS,BARRIO,DIRECCIÓN,PRECIO
Apartamento en venta,7062577,0 m²,68.0m²,4264705,3,9 a 15 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,289999940
Apartamento en venta,7269149,0 m²,60.0m²,4166666,3,16 a 30 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,249999960
Casa en venta,6823234,0 m²,221.0m²,2352941,3,Sin información,6,3,3,Engativá - Bogotá,Preguntar al anunciante,519999961
Casa en venta,7095956,0 m²,250.0m²,4000000,4,Sin información,4,3,5,Engativá - Bogotá,Preguntar al anunciante,1000000000
Apartamento en venta,6614727,0 m²,86.0m²,3255813,4,Sin información,3,2,0,Engativá - Bogotá,Preguntar al anunciante,279999918
Apartamento en venta,7870854,50 m²,53.0m²,3207547,2,9 a 15 años,3,2,0,Villa teresita - Bogotá,Preguntar al anunciante,169999991
Casa en venta,7461468,0 m²,80.41m²,3171247,2,1 a 8 años,3,3,0,Villa teresita - Bogotá,Preguntar al anunciante,254999971
Apartamento en venta,7700261,166 m²,166.0m²,9638554,6,1 a 8 años,3,5,2,engativa - Bogotá,Preguntar al anunciante,1599999964
Apartamento en venta,10035716,0 m²,49.0m²,3673469,3,1 a 8 años,3,2,0,El palmar - Bogotá,Carrera 116B # 66 - 57,179999981
Apartamento en venta,10026513,53 m²,53.0m²,3018867,2,9 a 15 años,3,2,1,Centro engativa - Bogotá,KR 116B # 70A - 77,159999951
Apartamento en venta,7612438,40 m²,43.0m²,3372093,2,1 a 8 años,3,1,0,Centro engativa - Bogotá,Preguntar al anunciante,144999999
Apartamento en venta,7312927,0 m²,58.0m²,4310344,3,16 a 30 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,249999952
Apartamento en venta,7564474,0 m²,71.0m²,3239436,3,9 a 15 años,4,2,0,Engativá - Bogotá,Preguntar al anunciante,229999956
Casa en venta,7277931,0 m²,240.0m²,1875000,3,más de 30 años,8,4,1,Engativá - Bogotá,Preguntar al anunciante,450000000
Apartamento en venta,8022812,0 m²,69.0m²,4782608,4,1 a 8 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,329999952
Casa en venta,7124474,0 m²,79.0m²,2911392,3,16 a 30 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,229999968
Apartamento en venta,7231973,55 m²,58.0m²,3103448,2,1 a 8 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,179999984
Apartamento en venta,7532038,43 m²,43.0m²,3372093,2,9 a 15 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,144999999
Apartamento en venta,7773024,61 m²,61.0m²,4180327,3,más de 30 años,3,1,0,Engativá - Bogotá,Preguntar al anunciante,254999947
Apartamento en venta,7554147,0 m²,60.0m²,4116666,3,más de 30 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,246999960
Apartamento en venta,7201892,52 m²,52.0m²,3365384,3,16 a 30 años,3,1,0,Engativá - Bogotá,Preguntar al anunciante,174999968
Apartamento en venta,7921831,74 m²,74.0m²,3918918,3,más de 30 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,289999932
Apartamento en venta,7884622,51 m²,51.0m²,3039215,2,16 a 30 años,3,1,0,Engativá - Bogotá,Preguntar al anunciante,154999965
Apartamento en venta,7782875,49 m²,49.0m²,5565306,4,1 a 8 años,2,2,1,Engativá - Bogotá,Preguntar al anunciante,272699994
Apartamento en venta,7886517,0 m²,44.54m²,4265828,3,9 a 15 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,189999979
Apartamento en venta,7887402,58 m²,60.0m²,3500000,3,más de 30 años,3,1,1,Engativá - Bogotá,Preguntar al anunciante,210000000
Apartamento en venta,7618613,49 m²,66.0m²,2500000,2,1 a 8 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,165000000
Apartamento en venta,7866461,0 m²,66.26m²,4980380,4,1 a 8 años,3,2,1,Engativá - Bogotá,Preguntar al anunciante,329999978
Apartamento en venta,7794557,44 m²,44.0m²,4545454,3,16 a 30 años,3,2,0,Engativá - Bogotá,Preguntar al anunciante,199999976
Apartamento en venta,7796171,0 m²,42.0m²,3252857,2,16 a 30 años,2,1,0,Engativá - Bogotá,Preguntar al anunciante,136619994
