TIPO_INMUEBLE,ESTRATO,ANTIGUEDAD,PARQUEADEROS,HABITACIONES,BAÑOS,ÁREA CONSTRUIDA M2,PRECIO M2 MMP
Casa en venta,3,16 a 30 años,NO,5,2,170.0,2.29
Apartamento en venta,4,1 a 8 años,SI,3,2,68.0,3.97
Apartamento en venta,3,16 a 30 años,NO,2,1,42.0,3.29
Casa en venta,2,16 a 30 años,SI,3,3,108.0,2.59
Apartamento en venta,2,16 a 30 años,NO,3,1,63.0,2.86
Casa en venta,2,9 a 15 años,NO,3,2,63.0,3.49
Apartamento en venta,4,1 a 8 años,SI,3,2,72.0,4.44
Apartamento en venta,4,1 a 8 años,SI,3,2,69.0,4.49
Apartamento en venta,4,1 a 8 años,SI,3,2,69.0,4.49
Apartaestudio en venta,4,1 a 8 años,SI,1,2,36.0,6.67
Apartamento en venta,3,9 a 15 años,NO,3,2,60.0,4.17
Apartamento en venta,3,9 a 15 años,SI,3,2,68.0,4.26
Casa en venta,2,16 a 30 años,SI,7,5,256.0,1.88
Apartamento en venta,3,1 a 8 años,NO,3,2,50.819999812768394,3.74
Apartamento en venta,2,1 a 8 años,NO,2,1,41.349999974939394,3.99
Casa en venta,3,9 a 15 años,SI,7,4,198.0,2.88
Apartamento en venta,3,1 a 8 años,SI,3,2,60.0,4.0
Apartamento en venta,3,menor a 1 año,SI,3,2,84.0,4.56
Apartamento en venta,4,1 a 8 años,SI,3,2,81.0,4.44
Apartamento en venta,2,1 a 8 años,NO,3,2,49.22999994432321,3.41
Casa en venta,3,16 a 30 años,NO,4,2,53.0,3.58
Casa en venta,3,más de 30 años,NO,2,3,139.89999995175862,4.15
Apartamento en venta,3,1 a 8 años,NO,3,2,50.0,3.2
Casa en venta,2,menor a 1 año,SI,11,6,310.0,2.43
Apartamento en venta,4,1 a 8 años,SI,3,2,69.0,4.55
Apartamento en venta,2,1 a 8 años,NO,3,2,55.0,3.09
Casa en venta,2,9 a 15 años,NO,3,1,53.0,3.08
Apartamento en venta,3,9 a 15 años,NO,3,2,50.819999812768394,3.74
Apartamento en venta,4,9 a 15 años,SI,3,2,71.0,3.86
Apartamento en venta,4,1 a 8 años,SI,3,2,71.0,3.86
Casa en venta,3,más de 30 años,SI,4,2,176.0,3.12
Casa en venta,2,16 a 30 años,NO,4,1,63.0,3.17
Casa en venta,2,16 a 30 años,NO,4,1,67.0,2.69
Apartamento en venta,4,1 a 8 años,SI,3,2,68.0,4.26
Casa en venta,2,16 a 30 años,SI,4,4,160.0,1.66
Casa en venta,2,9 a 15 años,SI,9,6,288.0,2.15
Casa en venta,2,16 a 30 años,SI,3,2,108.0,2.96
Casa en venta,2,9 a 15 años,NO,2,1,42.0,4.05
Casa en venta,2,16 a 30 años,SI,4,2,205.0,2.34
Casa en venta,2,9 a 15 años,SI,4,3,77.0,2.73
